,PostalCode,Borough,Neighborhood
0,M1B,Scarborough,"Malvern, Rouge"
1,M1C,Scarborough,"Port Union, Highland Creek, Rouge Hill"
2,M1E,Scarborough,"Guildwood, Morningside, West Hill"
3,M1G,Scarborough,Woburn
4,M1H,Scarborough,Cedarbrae
5,M1J,Scarborough,Scarborough Village
6,M1K,Scarborough,"East Birchmount Park, Kennedy Park, Ionview"
7,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
8,M1M,Scarborough,"Cliffside, Scarborough Village West, Cliffcrest"
9,M1N,Scarborough,"Birch Cliff, Cliffside West"
10,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
11,M1R,Scarborough,"Wexford, Maryvale"
12,M1S,Scarborough,Agincourt
13,M1T,Scarborough,"Tam O'Shanter, Clarks Corners, Sullivan"
14,M1V,Scarborough,"Milliken, L'Amoreaux East, Agincourt North, Steeles East"
15,M1W,Scarborough,L'Amoreaux West
16,M1X,Scarborough,Upper Rouge
17,M2H,North York,Hillcrest Village
18,M2J,North York,"Oriole, Fairview, Henry Farm"
19,M2K,North York,Bayview Village
20,M2L,North York,"York Mills, Silver Hills"
21,M2M,North York,"Newtonbrook, Willowdale"
22,M2N,North York,Willowdale South
23,M2P,North York,York Mills West
24,M2R,North York,Willowdale West
25,M3A,North York,Parkwoods
26,M3B,North York,Don Mills North
27,M3C,North York,"Don Mills South, Flemingdon Park"
28,M3H,North York,"Downsview North, Wilson Heights, Bathurst Manor"
29,M3J,North York,"Northwood Park, York University"
30,M3K,North York,"Downsview East, CFB Toronto"
31,M3L,North York,Downsview West
32,M3M,North York,Downsview Central
33,M3N,North York,Downsview Northwest
34,M4A,North York,Victoria Village
35,M4B,East York,"Parkview Hill, Woodbine Gardens"
36,M4C,East York,Woodbine Heights
37,M4E,East Toronto,The Beaches
38,M4G,East York,Leaside
39,M4H,East York,Thorncliffe Park
40,M4J,East York,East Toronto
41,M4K,East Toronto,"Riverdale, The Danforth West"
42,M4L,East Toronto,"India Bazaar, The Beaches West"
43,M4M,East Toronto,Studio District
44,M4N,Central Toronto,Lawrence Park
45,M4P,Central Toronto,Davisville North
46,M4R,Central Toronto,North Toronto West
47,M4S,Central Toronto,Davisville
48,M4T,Central Toronto,"Summerhill East, Moore Park"
49,M4V,Central Toronto,"Summerhill West, Forest Hill SE, Rathnelly, South Hill, Deer Park"
50,M4W,Downtown Toronto,Rosedale
51,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
52,M4Y,Downtown Toronto,Church and Wellesley
53,M5A,Downtown Toronto,"Regent Park, Harbourfront"
54,M5B,Downtown Toronto,"Ryerson, Garden District"
55,M5C,Downtown Toronto,St. James Town
56,M5E,Downtown Toronto,Berczy Park
57,M5G,Downtown Toronto,Central Bay Street
58,M5H,Downtown Toronto,"Richmond, Adelaide, King"
59,M5J,Downtown Toronto,"Toronto Islands, Union Station, Harbourfront East"
60,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
61,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
62,M5M,North York,"Bedford Park, Lawrence Manor East"
63,M5N,Central Toronto,Roselawn
64,M5P,Central Toronto,"Forest Hill West, Forest Hill North"
65,M5R,Central Toronto,"North Midtown, Yorkville, The Annex"
66,M5S,Downtown Toronto,"University of Toronto, Harbord"
67,M5T,Downtown Toronto,"Grange Park, Chinatown, Kensington Market"
68,M5V,Downtown Toronto,"South Niagara, CN Tower, Island airport, Bathurst Quay, Harbourfront West, Railway Lands, King and Spadina"
69,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
70,M5X,Downtown Toronto,"First Canadian Place, Underground city"
71,M6A,North York,"Lawrence Heights, Lawrence Manor"
72,M6B,North York,Glencairn
73,M6C,York,Humewood-Cedarvale
74,M6E,York,Caledonia-Fairbanks
75,M6G,Downtown Toronto,Christie
76,M6H,West Toronto,"Dufferin, Dovercourt Village"
77,M6J,West Toronto,"Little Portugal, Trinity"
78,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
79,M6L,North York,"Upwood Park, North Park, Downsview"
80,M6M,York,"Del Ray, Keelesdale, Silverthorn, Mount Dennis"
81,M6N,York,"The Junction North, Runnymede"
82,M6P,West Toronto,"High Park, The Junction South"
83,M6R,West Toronto,"Parkdale, Roncesvalles"
84,M6S,West Toronto,"Swansea, Runnymede"
85,M7A,Queen's Park,Queen's Park
86,M7R,Mississauga,Canada Post Gateway Processing Centre
87,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
89,M8W,Etobicoke,"Long Branch, Alderwood"
90,M8X,Etobicoke,"Montgomery Road, The Kingsway, Old Mill North"
91,M8Y,Etobicoke,"King's Mill Park, Royal York South East, Old Mill South, Mimico NE, Sunnylea, Kingsway Park South East, The Queensway East, Humber Bay"
92,M8Z,Etobicoke,"South of Bloor, Mimico NW, The Queensway West, Kingsway Park South West, Royal York South West"
93,M9A,Etobicoke,Islington Avenue
94,M9B,Etobicoke,"Martin Grove, West Deane Park, Islington, Princess Gardens, Cloverdale"
95,M9C,Etobicoke,"Bloordale Gardens, Eringate, Old Burnhamthorpe, Markland Wood"
96,M9L,North York,Humber Summit
97,M9M,North York,"Humberlea, Emery"
98,M9N,York,Weston
99,M9P,Etobicoke,Westmount
100,M9R,Etobicoke,"Richview Gardens, St. Phillips, Martin Grove Gardens, Kingsview Village"
101,M9V,Etobicoke,"Jamestown, Albion Gardens, Mount Olive, Humbergate, Silverstone, Thistletown, South Steeles, Beaumond Heights"
102,M9W,Etobicoke,Northwest
